Title,Date Published,Authors,Journal,Link,,
FLAMINGO: calibrating large cosmological hydrodynamical simulations with machine learning,Dec 23," Roi Kugel, Joop Schaye, Matthieu Schaller, John C. Helly, Joey Braspenning, Willem Elbers, Carlos S. Frenk, Ian G. McCarthy, Juliana Kwan, Jaime Salcido, Marcel P. van Daalen, Bert Vandenbroucke, Yannick M. Bahé, Josh Borrow, Evgenii Chaikin, Filip Huško, Adrian Jenkins, Cedric G. Lacey, Folkert S. J. Nobels, Ian Vernon",MNRAS,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.6103K/abstract,,
How time weathers galaxies: The temporal impact of the cluster environment on galaxy formation and evolution,Oct 23,"Stephanie O'Neil, Josh Borrow, Mark Vogelsberger, Hanzhang Zhao, Bing Wang",Submitted to MNRAS,https://ui.adsabs.harvard.edu/abs/2023arXiv231007754O/abstract,,
The THESAN project: connecting ionized bubble sizes to their local environments during the Epoch of Reionization,Oct 23,"Meredith Neyer, Aaron Smith, Rahul Kannan, Mark Vogelsberger, Enrico Garaldi, Daniela Galárraga-Espinosa, Josh Borrow, Lars Hernquist, Rüdiger Pakmor, Volker Springel",Submitted to MNRAS,https://ui.adsabs.harvard.edu/abs/2023arXiv231003783N/abstract,,
The thesan project: public data release of radiation-hydrodynamic simulations matching reionization-era JWST observations,Sep 23,"Enrico Garaldi, Rahul Kannan, Aaron Smith, Josh Borrow, Mark Vogelsberger, Rüdiger Pakmor, Volker Springel, Lars Hernquist, Daniela Galárraga-Espinosa, Jessica Y. -C. Yeh, Xuejian Shen, Clara Xu, Meredith Neyer, Benedetta Spina, Mouza Almualla, Yu Zhao",Submitted to MNRAS,https://ui.adsabs.harvard.edu/abs/2023arXiv230906475G/abstract,,
Nested solitons in two-field fuzzy dark matter,Sep 23,"Hoang Nhan Luu, Philip Mocz, Mark Vogelsberger, Simon May, Josh Borrow, S. -H. Henry Tye, Tom Broadhurst",Submitted to MNRAS,https://ui.adsabs.harvard.edu/abs/2023arXiv230905694N/abstract,,
Endothermic self-interacting dark matter in Milky Way-like dark matter haloes,Sep 23,"Stephanie O'Neil, Mark Vogelsberger, Saniya Heeba, Katelin Schutz, Jonah C. Rose, Paul Torrey, Josh Borrow, Ryan Low, Rakshak Adhikari, Mikhail V. Medvedev, Tracy R. Slatyer, Jesús Zavala",MNRAS,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524..288O/abstract,,
The FLAMINGO project: cosmological hydrodynamical simulations for large-scale structure and galaxy cluster surveys,Aug 23,"Joop Schaye, Roi Kugel, Matthieu Schaller, John C. Helly, Joey Braspenning, Willem Elbers, Ian G. McCarthy, Marcel P. van Daalen, Bert Vandenbroucke, Carlos S. Frenk, Juliana Kwan, Jaime Salcido, Yannick M. Bahé, Josh Borrow, Evgenii Chaikin, Oliver Hahn, Filip Huško, Adrian Jenkins, Cedric G. Lacey, Folkert S. J. Nobels",MNRAS,https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2384S/abstract,,
Cosmological baryon spread and impact on matter clustering in CAMELS,July 2023,"Matthew Gebhardt, Daniel Anglés-Alcázar, Josh Borrow, Shy Genel, Francisco Villaescusa-Navarro, Yueying Ni, Christopher Lovell, Daisuke Nagai, Romeel Davé, Federico Marinacci, Mark Vogelsberger, Lars Hernquist",Submitted to MNRAS,https://ui.adsabs.harvard.edu/abs/2023arXiv230711832G/abstract,,
Swift: A modern highly-parallel gravity and smoothed particle hydrodynamics solver for astrophysical and cosmological applications,May 2023,"Matthieu Schaller, Josh Borrow, Peter W. Draper, Mladen Ivkovic, Stuart McAlpine, Bert Vandenbroucke, Yannick Bahé, Evgenii Chaikin, Aidan B. G. Chalk, Tsang Keung  search by orcid Chan, Camila Correa, Marcel van Daalen, Willem Elbers, Pedro Gonnet, Loïc Hausammann, John Helly, Filip Huško, Jacob A. Kegerreis, Folkert S. J. Nobels, Sylvia Ploeckinger, Yves Revaz, William J. Roper, Sergio Ruiz-Bonilla, Thomas D. Sandnes, Yolan Uyttenhove, James S. Willis, Zhen Xiang",Submitted to MNRAS,https://ui.adsabs.harvard.edu/abs/2023arXiv230513380S/abstract,,
The THESAN project: Lyman-α emitter luminosity function calibration,May 2023,"Clara Xu, Aaron Smith, Josh Borrow, Enrico Garaldi, Rahul Kannan, Mark Vogelsberger, Rudiger Pakmor, Volker Springel, Lars Hernquist",MNRAS,https://ui.adsabs.harvard.edu/abs/2023MNRAS.521.4356X/abstract,,
X-ray scaling relations of early-type galaxies in IllustrisTNG and a new way of identifying backsplash objects,March 2023,"Yunchong Wang, Mark Vogelsberger, Dong-Woo Kim, Josh Borrow, Aaron Smith, Lars Hernquist, Wenjie Lin",Submitted to MNRAS,https://ui.adsabs.harvard.edu/abs/2023arXiv230315498W/abstract,,
The impact of stochastic modelling on the predictive power of galaxy formation simulations,Dec 23,"Josh Borrow, Matthieu Schaller, Yannick Bahe, Joop Schaye, Folkert Nobels, Aaron Ludlow, Edoardo Altamura",MNRAS,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.2441B/abstract,,
THESAN-HR: How does reionization impact early galaxy evolution?,Nov 23,"Josh Borrow, Mark Vogelsberger, Enrico Garaldi, Rahul Kannan, Aaron Smith, Volker Springel, Rudiger Pakmor, Lars Hernquist",MNRAS,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.5932B/abstract,,
EAGLE-like simulation models cannot reproduce the observed entropy profiles of groups and clusters,Apr 23,"Edoardo Altamura, Scott T. Kay, 
Richard G. Bower, Matthieu Schaller, Yannick M. Bahe, 
Joop Schaye, Josh Borrow, 
Imogen Towler",MNRAS,https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.3164A/abstract,,
IllustrisTNG Snapshots for 10 Gyr of Dynamical Evolution of Brightest Cluster Galaxies and Their Host Clusters,1 Jul 22,"Jubee Sohn, Margaret J. Geller, Mark Vogelsberger, Josh Borrow",MNRAS,https://ui.adsabs.harvard.edu/abs/2022arXiv220701637S/abstract,,
There and back again: understanding the critical properties of backsplash galaxies,20 May 22,"Josh Borrow, Mark Vogelsberger, Stephanie O'Neil, Michael A. McDonald, Aaron Smith",MNRAS; Under Review,https://ui.adsabs.harvard.edu/abs/2022arXiv220510376B/abstract,,
The importance of black hole repositioning for galaxy formation simulations,18 May 22,"Yannick M Bahé,  Joop Schaye,  Matthieu Schaller,  Richard G Bower,  Josh Borrow,  Evgenii Chaikin,  Roi Kugel, Folkert Nobels,  Sylvia Ploeckinger",MNRAS,https://ui.adsabs.harvard.edu/abs/2022MNRAS.516..167B/abstract,,
The THESAN project: ionizing escape fractions of reionization-era galaxies,April 2023,"Jessica Y.-C. Yeh, Aaron Smith, Rahul Kannan, Enrico Garaldi, Mark Vogelsberger, Josh Borrow, Rüdiger Pakmor, Volker Springel, Lars Hernquist",MNRAS,https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.2757Y/abstract,,
swift-emulator: A Python package for emulation of simulated scaling relations,12 Apr 22,"Roi Kugel, Josh Borrow",JOSS; Co-First Author,https://ui.adsabs.harvard.edu/abs/2022JOSS....7.4240K/abstract,,
Dealing with density discontinuities in planetary SPH simulations,31 Mar 22,"S Ruiz-Bonilla, Josh Borrow, V R Eke, J A Kegerreis, R J Massey, T D Sandnes, L F A Teodoro",MNRAS,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.4660R/abstract,,
The impact of galaxy selection on the splashback boundaries of galaxy clusters ,28 Mar 22,"Stephanie O’Neil,  Josh Borrow, Mark Vogelsberger,  Benedikt Diemer",MNRAS; Student Supervision Paper,https://ui.adsabs.harvard.edu/abs/2022MNRAS.513..835O/abstract,,
Sensitivity of non-radiative cloud-wind interactions to the hydrodynamics solver,July 2023,"Joey Braspenning, Joop Schaye, Josh Borrow, Matthieu Schaller",MNRAS,https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.1280B/abstract,,
SÍGAME v3: Gas Fragmentation in Postprocessing of Cosmological Simulations for More Accurate Infrared Line Emission Modeling,23 Nov 21,"Karen Pardos Olsen, Blakesley Burkhart, Mordecai-Mark Mac Low, Robin G. Treß, Thomas R. Greve, David Vizgan, Jay Motka, Josh Borrow, Gergö Popping, Romeel Davé, Rowan J. Smith, Desika Narayanan",ApJ,https://ui.adsabs.harvard.edu/abs/2021ApJ...922...88O/abstract,,
SPHENIX: smoothed particle hydrodynamics for the next generation of galaxy formation simulations,8 Nov 21,"Josh Borrow, Matthieu Schaller, Richard G Bower, Joop Schaye",MNRAS,https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.2367B/abstract,,
Projecting SPH Particles in Adaptive Environments,11 Jun 21,"Josh Borrow, Ashley Kelly","Proceedings of the 15th SPHERIC International Workshop, New Jersey Institute of Technology, June 8-11, 2021, pp 150-148 (ISBN 978-0-578-91934-8)",https://arxiv.org/abs/2106.05281,,
Inconsistencies arising from the coupling of galaxy formation sub-grid models to pressure-smoothed particle hydrodynamics,19 May 21,"Josh Borrow, Matthieu Schaller, Richard G Bower",MNRAS,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.2316B/abstract,,
swiftsimio: A Python library for reading SWIFT data,1 Aug 2020,"Josh Borrow, Alexei Borrisov",JOSS,https://joss.theoj.org/papers/10.21105/joss.02430,,
Cosmological baryon transfer in the SIMBA simulations,2 Feb 2020,"Josh Borrow, Daniel Anglés-Alcázar, Romeel Davé",MNRAS,https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.6102B/abstract,,
Choosing the best flavour of SPH for Astrophysics problems: More complex may not be better,25 Jun 2019,"Josh Borrow, Bert Vandenbroucke, Matthieu Schaller","Proceedings of the 14th SPHERIC International Workshop, Exeter, UK",./spheric2019.pdf,,
SWIFT: Maintaining weak-scalability with a dynamic range of 10^4 in time-step size to harness extreme adaptivity,26 Jul 2018,"Josh Borrow, Richard G. Bower, Peter W. Draper, Pedro Gonnet, Matthieu Schaller","Proceedings of the 13th SPHERIC International Workshop, Galway, Ireland",http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1807.01341,,
"Galaxy Makers: creating an online component to a science exhibition for re-engagement, evaluation and content legacy",12 May 2017,"Josh Borrow, Chris Harrison",Communicating Astronomy with the Public,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1705.04563,,
A Blueprint for Public Engagement Appraisal: Supporting Research Careers,5 Oct 2015,"Josh Borrow, Pedro Russo",ArXiv,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1510.02017,,
